RECONCILED WORDS:
================================================================================

   0: In (0.00s - 0.35s)
   1: this (0.35s - 0.70s)
   2: video, (0.70s - 1.05s)
   3: we're (1.05s - 1.40s)
   4: going (1.40s - 1.75s)
   5: to (1.75s - 2.10s)
   6: go (2.10s - 2.45s)
   7: over (2.45s - 2.80s)
   8: screen (2.80s - 3.15s)
   9: space (3.15s - 3.50s)
  10: reflections, (3.50s - 3.85s)
  11: which (3.85s - 4.20s)
  12: is (4.20s - 4.55s)
  13: a (4.55s - 4.90s)
  14: complex (4.90s - 5.25s)
  15: topic (5.25s - 5.60s)
  16: that (5.60s - 5.95s)
  17: deserves (5.95s - 6.30s)
  18: a (6.30s - 6.65s)
  19: little (6.65s - 7.00s)
  20: bit (7.00s - 7.35s)
  21: more (7.35s - 7.70s)
  22: time (7.70s - 8.05s)
  23: for (8.05s - 8.40s)
  24: discussion. (8.40s - 8.75s)
  25: Screen (8.75s - 9.10s)
  26: space (9.10s - 9.45s)
  27: reflections (9.45s - 9.80s)
  28: allow (9.80s - 10.15s)
  29: you (10.15s - 10.50s)
  30: to (10.50s - 10.85s)
  31: calculate (10.85s - 11.20s)
  32: reflections (11.20s - 11.55s)
  33: from (11.55s - 11.90s)
  34: the (11.90s - 12.25s)
  35: scene (12.25s - 12.60s)
  36: in (12.60s - 12.95s)
  37: real (12.95s - 13.30s)
  38: time (13.30s - 13.65s)
  39: without (13.65s - 14.00s)
  40: needing (14.00s - 14.35s)
  41: to (14.35s - 14.70s)
  42: use (14.70s - 15.05s)
  43: reflection (15.05s - 15.40s)
  44: probes, (15.40s - 15.75s)
  45: which (15.75s - 16.10s)
  46: we (16.10s - 16.45s)
  47: cover (16.45s - 16.80s)
  48: in (16.80s - 17.15s)
  49: the (17.15s - 17.50s)
  50: next (17.50s - 17.85s)
  51: module. (17.85s - 18.20s)
  52: This (18.20s - 18.55s)
  53: is (18.55s - 18.90s)
  54: a (18.90s - 19.25s)
  55: very (19.25s - 19.60s)
  56: intense (19.60s - 19.95s)
  57: effect, (19.95s - 20.30s)
  58: so (20.30s - 20.65s)
  59: reflection (20.65s - 21.00s)
  60: probes (21.00s - 21.35s)
  61: are (21.35s - 21.70s)
  62: the (21.70s - 22.05s)
  63: more (22.05s - 22.40s)
  64: performant (22.40s - 22.75s)
  65: option, (22.75s - 23.10s)
  66: but (23.10s - 23.45s)
  67: screen (23.45s - 23.80s)
  68: space (23.80s - 24.15s)
  69: reflections (24.15s - 24.50s)
  70: are (24.50s - 24.85s)
  71: an (24.85s - 25.20s)
  72: option (25.20s - 25.55s)
  73: if (25.55s - 25.90s)
  74: you're (25.90s - 26.25s)
  75: targeting (26.25s - 26.60s)
  76: very (26.60s - 26.95s)
  77: high-end (26.95s - 27.30s)
  78: devices. (27.30s - 27.65s)
  79: You're (27.65s - 28.00s)
  80: going (28.00s - 28.35s)
  81: to (28.35s - 28.70s)
  82: see (28.70s - 29.05s)
  83: this (29.05s - 29.40s)
  84: effect (29.40s - 29.75s)
  85: mostly (29.75s - 30.10s)
  86: on (30.10s - 30.45s)
  87: water, (30.45s - 30.80s)
  88: metallics, (30.80s - 31.15s)
  89: and (31.15s - 31.50s)
  90: other (31.50s - 31.85s)
  91: reflective (31.85s - 32.20s)
  92: materials. (32.20s - 32.55s)
  93: Once (32.55s - 32.90s)
  94: we've (32.90s - 33.25s)
  95: added (33.25s - 33.60s)
  96: screen (33.60s - 33.95s)
  97: space (33.95s - 34.30s)
  98: reflections (34.30s - 34.65s)
  99: onto (34.65s - 35.00s)
 100: our (35.00s - 35.35s)
 101: volume, (35.35s - 35.70s)
 102: let's (35.70s - 36.05s)
 103: take (36.05s - 36.40s)
 104: a (36.40s - 36.75s)
 105: look (36.75s - 37.10s)
 106: at (37.10s - 37.45s)
 107: it (37.45s - 37.80s)
 108: in (37.80s - 38.15s)
 109: action. (38.15s - 38.50s)
 110: Right (38.50s - 38.85s)
 111: now (38.85s - 39.20s)
 112: in (39.20s - 39.55s)
 113: our (39.55s - 39.90s)
 114: evening (39.90s - 40.25s)
 115: A (40.25s - 40.60s)
 116: scene (40.60s - 40.95s)
 117: here, (40.95s - 41.30s)
 118: the (41.30s - 41.65s)
 119: main (41.65s - 42.00s)
 120: thing (42.00s - 42.35s)
 121: that (42.35s - 42.70s)
 122: uses (42.70s - 43.05s)
 123: reflections (43.05s - 43.40s)
 124: are (43.40s - 43.75s)
 125: these (43.75s - 44.10s)
 126: air (44.10s - 44.45s)
 127: ducts (44.45s - 44.80s)
 128: above (44.80s - 45.15s)
 129: us. (45.15s - 45.50s)
 130: If (45.50s - 45.85s)
 131: I (45.85s - 46.20s)
 132: were (46.20s - 46.55s)
 133: to (46.55s - 46.90s)
 134: disable (46.90s - 47.25s)
 135: these (47.25s - 47.60s)
 136: reflection (47.60s - 47.95s)
 137: probes, (47.95s - 48.30s)
 138: we (48.30s - 48.65s)
 139: can (48.65s - 49.00s)
 140: see (49.00s - 49.35s)
 141: the (49.35s - 49.70s)
 142: color (49.70s - 50.05s)
 143: of (50.05s - 50.40s)
 144: these (50.40s - 50.75s)
 145: air (50.75s - 51.10s)
 146: ducts (51.10s - 51.45s)
 147: completely (51.45s - 51.80s)
 148: change, (51.80s - 52.15s)
 149: since (52.15s - 52.50s)
 150: after (52.50s - 52.85s)
 151: all (52.85s - 53.20s)
 152: these (53.20s - 53.55s)
 153: ducts (53.55s - 53.90s)
 154: are (53.90s - 54.25s)
 155: metallic (54.25s - 54.60s)
 156: and (54.60s - 54.95s)
 157: they (54.95s - 55.30s)
 158: reflect (55.30s - 55.65s)
 159: the (55.65s - 56.00s)
 160: light (56.00s - 56.35s)
 161: from (56.35s - 56.70s)
 162: the (56.70s - 57.05s)
 163: office (57.05s - 57.40s)
 164: around (57.40s - 57.75s)
 165: it. (57.75s - 58.10s)
 166: These (58.10s - 58.45s)
 167: reflection (58.45s - 58.80s)
 168: probes (58.80s - 59.15s)
 169: approximate (59.15s - 59.50s)
 170: the (59.50s - 59.85s)
 171: amount (59.85s - 60.20s)
 172: of (60.20s - 60.55s)
 173: light (60.55s - 60.90s)
 174: that (60.90s - 61.25s)
 175: the (61.25s - 61.60s)
 176: metallic (61.60s - 61.95s)
 177: air (61.95s - 62.30s)
 178: ducts (62.30s - 62.65s)
 179: are (62.65s - 63.00s)
 180: going (63.00s - 63.35s)
 181: to (63.35s - 63.70s)
 182: give (63.70s - 64.05s)
 183: off. (64.05s - 64.40s)
 184: Let's (64.40s - 64.75s)
 185: say (64.75s - 65.10s)
 186: I (65.10s - 65.45s)
 187: want (65.45s - 65.80s)
 188: to (65.80s - 66.15s)
 189: completely (66.15s - 66.50s)
 190: do (66.50s - 66.85s)
 191: away (66.85s - 67.20s)
 192: with (67.20s - 67.55s)
 193: reflection (67.55s - 67.90s)
 194: probes (67.90s - 68.25s)
 195: and (68.25s - 68.60s)
 196: have (68.60s - 68.95s)
 197: these (68.95s - 69.30s)
 198: use (69.30s - 69.65s)
 199: screen (69.65s - 70.00s)
 200: space (70.00s - 70.35s)
 201: reflections (70.35s - 70.70s)
 202: to (70.70s - 71.05s)
 203: approximate (71.05s - 71.40s)
 204: their (71.40s - 71.75s)
 205: reflection. (71.75s - 72.10s)
 206: What (72.10s - 72.45s)
 207: we (72.45s - 72.80s)
 208: can (72.80s - 73.15s)
 209: do (73.15s - 73.50s)
 210: is (73.50s - 73.85s)
 211: we (73.85s - 74.20s)
 212: can (74.20s - 74.55s)
 213: come (74.55s - 74.90s)
 214: over (74.90s - 75.25s)
 215: to (75.25s - 75.60s)
 216: the (75.60s - 75.95s)
 217: material (75.95s - 76.30s)
 218: that (76.30s - 76.65s)
 219: these (76.65s - 77.00s)
 220: air (77.00s - 77.35s)
 221: ducts (77.35s - 77.70s)
 222: use. (77.70s - 78.05s)
 223: So (78.05s - 78.40s)
 224: for (78.40s - 78.75s)
 225: example, (78.75s - 79.10s)
 226: if (79.10s - 79.45s)
 227: I (79.45s - 79.80s)
 228: select (79.80s - 80.15s)
 229: this (80.15s - 80.50s)
 230: and (80.50s - 80.85s)
 231: I (80.85s - 81.20s)
 232: can (81.20s - 81.55s)
 233: see (81.55s - 81.90s)
 234: that (81.90s - 82.25s)
 235: that (82.25s - 82.60s)
 236: the (82.60s - 82.95s)
 237: in (82.95s - 83.30s)
 238: the (83.30s - 83.65s)
 239: materials (83.65s - 84.00s)
 240: is (84.00s - 84.35s)
 241: air (84.35s - 84.70s)
 242: ducts (84.70s - 85.05s)
 243: B, (85.05s - 85.40s)
 244: I (85.40s - 85.75s)
 245: can (85.75s - 86.10s)
 246: go (86.10s - 86.45s)
 247: ahead (86.45s - 86.80s)
 248: and (86.80s - 87.15s)
 249: select (87.15s - 87.50s)
 250: air (87.50s - 87.85s)
 251: ducts (87.85s - 88.20s)
 252: B, (88.20s - 88.55s)
 253: toggle (88.55s - 88.90s)
 254: receive (88.90s - 89.25s)
 255: SSR, (89.25s - 89.60s)
 256: and (89.60s - 89.95s)
 257: I (89.95s - 90.30s)
 258: can (90.30s - 90.65s)
 259: do (90.65s - 91.00s)
 260: the (91.00s - 91.35s)
 261: same (91.35s - 91.70s)
 262: with (91.70s - 92.05s)
 263: these (92.05s - 92.40s)
 264: materials (92.40s - 92.75s)
 265: as (92.75s - 93.10s)
 266: well. (93.10s - 93.45s)
 267: Enable (93.45s - 93.80s)
 268: SSR (93.80s - 94.15s)
 269: on (94.15s - 94.50s)
 270: all (94.50s - 94.85s)
 271: of (94.85s - 95.20s)
 272: these (95.20s - 95.55s)
 273: air (95.55s - 95.90s)
 274: duct (95.90s - 96.25s)
 275: materials (96.25s - 96.60s)
 276: and (96.60s - 96.95s)
 277: now (96.95s - 97.30s)
 278: if (97.30s - 97.65s)
 279: I (97.65s - 98.00s)
 280: go (98.00s - 98.35s)
 281: into (98.35s - 98.70s)
 282: my (98.70s - 99.05s)
 283: volume (99.05s - 99.40s)
 284: here (99.40s - 99.75s)
 285: and (99.75s - 100.10s)
 286: I (100.10s - 100.45s)
 287: start (100.45s - 100.80s)
 288: messing (100.80s - 101.15s)
 289: around (101.15s - 101.50s)
 290: with (101.50s - 101.85s)
 291: the (101.85s - 102.20s)
 292: screen (102.20s - 102.55s)
 293: space (102.55s - 102.90s)
 294: reflection (102.90s - 103.25s)
 295: settings (103.25s - 103.60s)
 296: I (103.60s - 103.95s)
 297: can (103.95s - 104.30s)
 298: start (104.30s - 104.65s)
 299: getting (104.65s - 105.00s)
 300: these (105.00s - 105.35s)
 301: air (105.35s - 105.70s)
 302: ducts (105.70s - 106.05s)
 303: to (106.05s - 106.40s)
 304: reflect (106.40s - 106.75s)
 305: light (106.75s - 107.10s)
 306: using (107.10s - 107.45s)
 307: the (107.45s - 107.80s)
 308: scene (107.80s - 108.15s)
 309: itself (108.15s - 108.50s)
 310: rather (108.50s - 108.85s)
 311: than (108.85s - 109.20s)
 312: reflection (109.20s - 109.55s)
 313: probes. (109.55s - 109.90s)
 314: We (109.90s - 110.25s)
 315: can (110.25s - 110.60s)
 316: change (110.60s - 110.95s)
 317: the (110.95s - 111.30s)
 318: amount (111.30s - 111.65s)
 319: of (111.65s - 112.00s)
 320: smoothness. (112.00s - 112.35s)
 321: Minimum (112.35s - 112.70s)
 322: smoothness (112.70s - 113.05s)
 323: determines (113.05s - 113.40s)
 324: how (113.40s - 113.75s)
 325: smooth (113.75s - 114.10s)
 326: an (114.10s - 114.45s)
 327: object (114.45s - 114.80s)
 328: must (114.80s - 115.15s)
 329: be (115.15s - 115.50s)
 330: for (115.50s - 115.85s)
 331: SSR (115.85s - 116.20s)
 332: to (116.20s - 116.55s)
